eng,hindi
Did you do your homework?,होमवर्क किया क्या?
The problem is being discussed now.,समस्या पर बहस जारी है।
Open the door.,दरवाज़ा खोलिए।
Insert it wherever you like.,जहाँ भी घुसाना है घुसा दो।
I was asked to give you a message.,मुझे आपको संदेश देने के लिए कहा गया था।
How do you interpret this poem?,इस कविता का तुम क्या मतलब निकालते हो?
"He said he would write to me, but he hasn't.","उसने कहा था कि वह मुझे चिट्ठी लिखेगा, पर उसने अभी तक एक भी चिट्ठी नहीं भेजी है।"
I'll bring the wine.,मैं शराब लाता हूँ।
I made him my servant.,मैंने उसे अपना नौकर बना लिया।
I was born and brought up in Boston.,मेरा जन्म और पालन-पोषण बोस्टन में हुआ ।
Are you tired?,थक गए हो क्या?
"On the fifteenth of August, thousands of people fly kites.",पंद्रह अगस्त के दिन हज़ारों लोग पतंग उड़ातें हैं।
Have fun.,मौज करना।
I think that he is right.,मुझे लगता है वह सही है।
I left the keys with my wallet.,मैंने चाबियों को अपने बटुए के साथ छोड़ दिया।
How was the weather yesterday?,कल का मौसम कैसा था?
It's a difficult problem.,यह समस्या बहुत कठिन है।
We are sorry we can't help you.,माफ़ कीजिए पर हम आपकी मदद नहीं कर सकते।
Come and join us.,आओ हमारे साथ बैठो।
I have a headache.,मेरे सिर में दर्द हो रहा है।
This house has six rooms.,इस घर में छः कमरे हैं।
I'd like to get a refund.,मुझे अपने पैसे वापस चाहिए।
This problem is hard to solve.,इस समस्या को सुलझाना बहुत कठिन है।
Tom couldn't understand what Mary was saying.,टॉम को मेरी की बात समझ नहीं आई।
You've got a nerve to say such a thing!,तुम्हारी जुर्रत कैसे हुई यह बोलने की?!
They will be very glad.,वे बहुत प्रसन्न होंगे।
What're you two doing?,तुम दोनो क्या कर रहे हो?
This museum has been closed for five years.,यह म्युज़ियम पाँच साल से बंद है।
You can see the whole city from here.,तुम यहाँ से पूरा शहर देख सकते हो।
I'm tired now.,मैं अब थक गया हूँ।
Is the mouse dead or alive?,चूहा ज़िन्दा है या मर गया है?
This is why I came back.,मैं इसीलिए वापस आया था।
She always complains of her teacher.,वह हमेशा अपनी टीचर की शिक़ायत करती है।
Did it not occur to you to close the windows?,तुम्हें खिड़कियाँ बंद करने की नहीं सूझी?
Father is watering flowers.,पापा फूलों को पानी दे रहे हैं।
The car raised a cloud of dust.,उस गाड़ी ने बहुत धूल उड़ाई।
I was born in 1960.,मैं १९६० में पैदा हुआ था।
The women of France are beautiful.,फ़्रांस की महिलाये खूबसूरत हैं।
There is no hurry about returning the book to me.,मुझे वह किताब लौटाने में जल्द-बाज़ी करने की ज़रूरत नहीं है।
The king ordered that the prisoner should be set free.,राजा ने हुक़्म दिया कि क़ैदी को रिहा कर दिया जाए।
What have you come here for?,तुम यहाँ क्यों आए हो?
This is what I need.,यह वही चीज़ है जिसकी मुझे ज़रूरत है।
I haven't had a chance to see the movie yet.,मुझे अभी तक उस फ़िल्म को देखने का मौका नहीं मिला है।
I'm going to meet him tomorrow.,मैं कल उससे मिलने जा रहा हूँ।
My brother has a good memory.,मेरे भाई की याददाश्त अच्छी है।
The plane will arrive at three.,विमान तीन बजे पहुँचेगा।
Some snakes are poisonous.,कुछ सांप ज़हरीले होते हैं।
He looked up at the sky.,उसने आसमान की तरफ़ देखा।
I don't mind waiting.,मुझे प्रतीक्षा करने में कोई आपत्ती नहीं है।
Perfect!,उत्तम!
Our parents took care of us and now it's our turn to take care of them.,हमारे माता-पिता ने हमारी देखभाल की थी और अभ हमारी बारी है उनकी देखभाल करने की।
She was only pretending to be asleep.,वह सोना का बहाना कर रही थी।
Mumbai is the capital of the Indian state of Maharashtra.,मुम्बई भारतीय राज्य महाराष्ट्र की राजधानी है।
She asked him to raise the funds.,उसने उससे पैसे जुटाने के लिए कहा।
What day is it today?,आज कौनसा वार है?
The doctor told her that she should take a rest.,डॉक्टर ने उससे कहा कि उसे आराम लेना चाहिए।
It looks like you are from India.,लगता है कि तुम भारत के हो।
I mentioned your name to him.,मैंने उसके साथ तुम्हारा नाम लिया था।
She was robbed of her purse.,उसका पर्स उससे चुरा लिया गया।
"Some like tea, others prefer coffee.","कुछ लोगों को चाय अच्छी लगती है, और कुछ लोगों को कॉफ़ी।"
He abandoned his family.,उसने अपने परिवार को छोड़ दिया।
I prefer coffee to tea.,मुझे चाय से ज़्यादा कॉफ़ी पसंद है।
He ought to have made allowances for his age.,उसे अपनी उम्र के बारे में सोचना चाहिए था।
Wow!,वाह!
Absence of rain caused the plants to die.,पौधे बारिश के बिना मर गए।
The accident was due to his careless driving.,वह ऐक्सीडेंट उसकी लापरवाही की वजह से हुआ।
I advise you to stop smoking.,मेरे ख़याल से तुम्हें सिगरेट पीना छोड़ देना चहिए।
She will be back before long.,वह थोड़ी देर में ही वापस आ जाएगी।
The drug smuggler was arrested at the airport.,दवा तस्कर हवाई अड्डे पर गिरफ्तार किया गया था।
The king crushed his enemies.,राजा ने अपने दुश्मनों को कुचल दिया।
He hasn't written the letter yet.,उसने चिट्ठी अभी तक नहीं लिखी है।
I am pleased with the result.,मैं नतीजे से खुश हूँ।
You must not be afraid of making mistakes when learning a language.,कोई भी नई भाषा सीखने में ग़लतियों से डरना नहीं चहिए।
The flowers have all withered.,सारे फूल मुरझा गए हैं।
I can swim.,मैं तैर सकता हूँ।
You had better go at once.,तुम्हें तुरंत जाना चाहिए।
I'll come back.,मैं वापस आऊँगा।
I have lunch at noon.,मैं दोपहर बारह बजे खाना खाती हूँ।
Apples were on sale today.,आज सेव सस्ते बिक रहे थे।
No one can move the big box.,उस बड़े डब्बे को कोई भी नहीं हिला सकता।
Tom wants to leave the house.,टॉम घर छोड़ना चाहता है।
Please come again two weeks from today.,आज से दो हफ़्तों के बाद फिरसे आईएगा।
Stand still and keep silent.,शांति से खड़े रहो।
The plane will take off in one hour.,विमान एक घंटे में उड़ान भरेगा।
I have no time to help you with the work.,मेरे पास तुम्हारी काम में मदद करने के लिए समय नहीं है।
I accompanied him on the trip.,मैं सफ़र पर उसके साथ गया।
She went to Paris for the first time.,वह पहली बार पैरिस गई थी।
He had nothing to do with the case.,उसका इस केस के साथ कोई लेना-देना नहीं था।
Why were you late this morning?,तुम आज सुबह देर से क्यों आए?
Be sure to put out the fire before you leave.,जाने से पहले आग को बुझाना मत भूलना।
Give up smoking if you want to live long.,अगर लम्बी ज़िन्दगी जीना चाहते हो तो सिगरेट पीना छोड़ दो।
I learned to play guitar when I was ten years old.,मैंने दस साल की उम्र में ही गिटार बजाना सीख लिया था।
He put down the rebellion in India.,उसने भारत में विद्रोह को रोका।
Japan is one of the greatest economic powers in the world.,जापान दुनिया के सबसे ताकतशाली अर्थतंत्रों में से एक है।
He lives in that house over there.,वह वहाँ उस घर में रहता है।
Please follow me.,मेरे साथ आईए।
"Well, I must be going.",मुझे चलना चाहिए।
We talked to each other for a while.,हमने थोड़ी देर के लिए एक-दूसरे के साथ बात करी।
This road is very narrow.,यह रास्ता बहुत पतला है।
What time do you usually get up every morning?,तुम आमतौर पर रोज़ सुबह कितने बजे उठते हो?
I'm really tired.,मैं बहुत थक गया हूँ।
She's in the garden planting roses.,"वह बगीचे में है, गुलाब के फूल लगा रही है।"
Will he come tomorrow?,वे कल आएँगे क्या?
You have a good memory.,तुम्हारी याददाश्त अच्छी है।
He made up his mind to study abroad.,उसने विदेश में पढ़ने का निर्णय लिया।
This is my father's house.,मेरे पापा का घर है।
I wake him at six every morning.,मैं हर सुबह छः बजे उसको उठाती हूँ।
Have you ever failed an exam?,क्या तुम कभी किसी परीक्षा में असफल हुई हो?
They went out of sight at last.,वे आखिरकार नज़र से बाहर निकल गए।
I'd like to have a word with you.,मैं तुमसे बात करना चाह्ता हूँ।
She felt insecure about her future.,उसको अपना आने वाला कल थोड़ा डाँवाडोल लगा।
Do you live with your parents?,क्या तुम अपने मम्मी-पापा के साथ रहते हो?
I need the following items.,मुझे निम्नलिखित वस्तुओं की आवश्यकता है।
Hello!,नमस्ते।
Are you saying my life is in danger?,क्या तुम कह रहे हो कि मेरी जान ख़तरे में है?
The law says that all men are equal.,क़ानून के मुताबिक सभी मनुष्य समान हैं।
"Seen from the sky, the river looked like a huge snake.",आसमान से वह नदी एक विशाल सांप की तरह दिख रही थी।
Have a nice time.,मज़े करो।
You shouldn't wait here.,तुम्हें यहाँ इंतेज़ार नहीं करना चाहिए।
"There are few, if any, such men.",ऐसे लोग कम ही होंगे।
He did the reverse of what I asked.,उसने मेरे बताए हुए से उलटा काम किया।
I don't want your pity.,मुझे तुम्हारी दया नहीं चहिए।
I'm more beautiful than you.,मैं तुमसे ज़्यादा खूबसूरत हूँ।
She smiled happily.,उसने खुशी से मुस्कुराया।
I buried my dog at the pet cemetery.,मैंने अपने कुत्ते को पालतू जानवरों के कब्रिस्तान में बरी कर दिया।
Don't worry about me.,मेरी चिंता मत करो।
I saw a dog swim across the river.,मैंने एक कुत्ते को तैरकर नदी पार करते हुए देखा।
You're spending too much time watching TV.,तुम टीवी देखने में काफ़ी समय बरबाद कर रहे हो।
Three men broke out of prison yesterday.,कल तीन आदमी जेल से भाग गए।
There is no point in studying if you are feeling tired.,अगर थक गए हो तो पढ़ाई करने से कोई फ़ायदा नहीं है।
I can't swallow these tablets without a drink of water.,मैं पानी के बिना इन गोलियों को निगल नहीं सकती।
It shouldn't take long to find Tom.,टॉम को ढूँढने में समय नहीं लगना चाहिए।
Yesterday was my birthday.,कल मेरा जन्मदिन था।
"When she was reading the letter, she looked sad.",वह चिट्ठी पढ़ने के समय दुखी लग रही थी।
Do you know the man standing on the bridge?,तुम ब्रिज पर खड़े हुए आदमी को जानते हो क्या?
We are to meet in front of his house.,हम उसके घर के सामने मिलेंगे।
Mary loves going to the spa.,मेरी को स्पा जाना पसंद है।
I forgot to ask him.,मैं उससे पूछना भूल गया।
Everything is all right at home.,घर में सब-कुछ ठीक है।
Fresh vegetables promote health.,ताज़ी सब्ज़ियाँ सेहत के लिए अच्छी होतीं हैं।
The thieves pulled open all the drawers of the desk in search of money.,चोरों ने पैसे ढूँढने के लिए मेज़ की सारी दराज़ें खोल डालीं।
My father consented to my going abroad.,मेरे पिता मेरे विदेश जाने से राज़ी थे।
I take a bath almost every day.,मैं लगभग हर रोज़ नहाता हूँ।
Going out in this rain is out of the question.,इस बारिश में बाहर जाना एकदम सवाल के बाहर है।
When do you usually get off work?,तुम आमतौर पर कितने बजे काम से छूटते हो?
I want to visit Korea.,मैं कोरिया जाना चाहता हूँ।
Jump.,कूदो.
He's strong.,वह ताकतवर है।
He weighed the stone in his hand.,उसने पत्थर को अपने हाथ में रखकर तोला।
"Can I have the key now, please?",मुझे अब चाबी मिल सकती है क्या?
I like both.,मुझे दोनो पसंद हैं।
I live near here.,मैं आस-पड़ोस में रहता हूँ।
She looked at the picture.,उसने तस्वीर को देखा।
He hid his sadness behind a smile.,उसने अपने दुख को अपनी मुस्कुराहट के पीछे छिपा लिया।
I saw her again.,मैंने उसे फिरसे देखा।
Smoking is not allowed here.,यहाँ धूम्रपान करना मना है।
This coffee is so hot that I can't drink it.,यह कॉफ़ी इतनी गरम है कि मुझसे पी नहीं जा रही है।
Everyone dies.,मौत तो सभी की होती है।
I need coughing medicine.,मुझे खाँसी की दवाई चाहिए।
He seems to be rich.,वह दिखने में बहुत अमीर लगता है।
This is your key.,यह आपकी चाबी है।
The shop carried leather goods.,वह दुकान चमड़े के उत्पाद बेचती थी।
That's too small to fit on your head.,वह तुम्हारे सर के लिए बहुत छोटा है।
The government has been reforming education.,सरकार शिक्षा को सुधारने मे लगी हुई है।
I don't have much money.,मेरे पास ज़्यादा पैसे नहीं हैं।
Tom did what he could to calm Mary down.,टॉम ने वह सब किया जो वह मैरी को शांत करने के लिए कर सकता था।
Will we arrive in time?,हम समय में पहुँच जाएँगे क्या?
Don't bother us anymore.,अब से हमें परेशान मत करना।
I just cut my finger.,मैंने अपनी ऊँगली काट ली।
He was destined never to meet her again.,उसके नसीब में उससे फिरसे मिलना नहीं लिखा हुआ था।
Tom is my idol.,टॉम मेरा आदर्श है।
She talks a lot.,वह बहुत बोलती है।
We kept on talking.,हम बात करते रहे।
Please make yourself at home.,इसको अपना घर ही समझो।
Why do you think soccer isn't popular in the US?,तुम्हारे खयाल से अम्रीका में फ़ुटबॉल लोकप्रिय क्यों नहीं है?
We won.,हम जीते।
Tom can be awfully stubborn.,टॉम बहुत जिद्दी हो सकता है।
Our class consists of fifty boys.,हमारी क्लास में पचास लड़के हैं।
Is there a cafe?,यहाँ कैफ़े है क्या?
"Let's play tennis. ""Yes let's.""","चलो टेनिस खेलने चलतें हैं। ""हाँ, चलो चलतें हैं"""
I met my teacher on the way to the station.,मेरी स्टेशन के रास्ते पर अपनी टीचर से मुलाकात हुई।
New York is a big city.,न्यू यॉर्क बड़ा शहर है।
A good idea suddenly struck her.,अचानक उसे एक अच्छा आइडिया आया।
My wife has just cleared the table.,मेरी बीवी ने अभी-अभी मेज़ को साफ़ किया है।
Wipe your hands with this towel.,अपने हाथ इस तौलिए से पोंछो।
Swimming here is very dangerous.,यहाँ तैरना बहुत ख़तरनाक है।
International trade is vital for healthy economies.,अंतर्राष्ट्रीय व्यापार मज़बूत अर्थव्यवस्था के लिए आवश्यक है।
"According to my calculation, she should be in India by now.",मेरे हिसाब के मुताबिक उसको अभी तक भारत पहुँच जाना चाहिए था।
Do you think we should import rice from the U.S.?,क्या आपको लगता है कि हमे अम्रीका से चावल का आयात करना चाहिए?
"Here, please have a seat.","यहां, बैठिये।"
I've lost my ticket.,मेरी टिकट खो गई है।
Even children can understand it.,इस बात को बच्चे भी समझते हैं।
They won't believe me even if I swear it is true.,वे मेरा विश्वास नहीं करेंगे चाहे मैं कसम भी क्यों न खालूँ।
I like English and music.,मुझे अंग्रेज़ी और संगीत पसंद हैं।
We rested for a while.,हमने थोड़ी देर आराम किया।
This tie doesn't go with my suit.,यह टाई मेरे सूट के साथ जचती नहीं है।
Will you turn on the TV?,टीवी चालू करदोगे क्या?
Don't say things like that.,ऐसा मत बोलो।
Do you know how to drive a car?,क्या आपको गाड़ी चलाना आता है?
"He is a nice man, except that he talks too much.","वह आदमी तो भला है, पर बात बहुत ज़्यादा करता है।"
Welcome.,स्वागतम्।
I'm waiting for my mother.,मैं अपनी माँ का इंतेज़ार कर रहा हूँ।
How long has it been since you gave up teaching at that school?,तुम्हें स्कूल में पढ़ाना छोड़े हुए कितना समय हो गया है?
I listen to music.,मैं संगीत सुनता हूँ।
Her mother was busy cooking the dinner.,उसकी माँ खाना बनाने में लगी हुई थी।
Mind your own business!,अपने काम से काम रखो!
I go every year.,मैं हर साल जाता हूँ।
I watched the game from beginning to end.,मैंने खेल को शुरू से अंत तक देखा।
He treats me like his slave.,वह मुझसे ग़ुलाम की तरह बर्ताव करता है।
These questions are easy to answer.,इन सवालों का जवाब देना आसान है।
Let me know your address.,मुझे अपना पता बतादेना।
The number of fish caught in this river was very small.,इस नदी में बहुत कम मछलियाँ पकड़ीं गईं।
This medicine will take the pain away.,यह दवाई दर्द को दूर कर देगी।
It's almost twelve o'clock.,बारह बजने वाले हैं।
We've run out of paper for the photocopier.,फ़ोटोकॉपियर में कागज़ खतम हो गया है।
He sold his own car without hesitation.,उसने अपनी गाड़ी बिना हिचकिचाहट हे बेच दी।
A thick mist covered the countryside.,गाँव पर गहरा कोहरा छा गया।
"She is very careful, so she seldom makes mistakes.","वह बहुत ध्यानपूर्वक है, इसलिए बहुत कम ग़लतियाँ करती है।"
He cried as if he were a boy of six.,उसने छः बरस के बच्चे की तरह रोया।
She showed me her new car.,उसने मुझे अपनी नई गाड़ी दिखाई।
Few people will admit their faults.,बहुत कम लोग अपनी गलतियों को मानते हैं।
How many books do you have?,तुम्हारे पास कितनी किताबें हैं?
Tom had another beer.,टॉम ने एक और बियर पी ली ।
School begins at half past eight.,स्कूल साढ़े-आठ बजे शुरू होता है।
She prattles on and on.,वह बहुत बक-बक करती है।
Are you guys OK?,क्या आप लोग ठीक हो?
Are you reading an interesting book?,तुम कोई दिलचस्प किताब पढ़ रहे हो क्या?
He tends to be arrogant.,उसको घमण्डी होने की आदत है।
"This is mine, and that's yours.",यह मेरा है और वह तुम्हारा है।
That was my mistake.,वह मेरी ग़लती थी।
We are happy.,हम खुश हैं।
Are they in the gym?,वे जिमखाने में हैं क्या?
He sent out the parcel the day before yesterday.,उसने पार्सल को परसों भेजा था।
The king abused his power.,राजा ने अपनी ताकत का दुरुपयोग किया।
The mud clung to his shoes.,उसके जूतों पर कीचड़ लगी हुई थी।
You should have listened to me.,तुम्हें मेरी बात सुन लेनी चाहिए थी।
Can I do anything?,मैं कुछ कर सकता हूँ क्या?
I have no idea how he escaped.,मुझे नहीं पता वह कैसे निकल भागा।
I heard a noise.,मुझे कोई आवाज़ सुनाई दी।
"When he would not give them higher pay, they went on strike.","जब उसने उनके वेतन बढ़ाने से इनकार कर दिया, उन्होंने हड़ताल कर दी।"
The children were well looked after.,बच्चों की देखभाल अच्छी तरह से की जाती थी।
"I have two sisters, both of whom are married.",मेरी दो बहनें हैं और दोनो की शादी हो चुकी है।
The plane crash took 200 lives.,विमान दुर्घटना ने दो सौ लोगों की जानें लें लीं।
Everyone felt sorry for Tom.,सब टॉम के लिए दुःखी थे I
Dad is shaving in the bathroom.,पापा बाथरूम में दाढ़ी बना रहे हैं।
You don't have to chat with them.,तुम्हें उसने गप मारने की ज़रूरत नहीं है।
What kind of juice do you want?,आप को कैसा रस चाहिए?
Some people want to amend the constitution.,कुछ लोग संविधान को सुधारना चाहते हैं।
I worked all night.,मैंने पूरी रात काम किया।
He doesn't live in my neighborhood.,वह मेरे आस-पड़ोस में नहीं रहता।
I don't know if he knows it.,मुझे नहीं पता कि उसको पता है कि नहीं।
I had a little fever.,मुझे थोड़ा बुखार था।
The kite got caught in the tree.,पतंग पेड़ में जाकर अटक गई।
It's the same for everyone.,सब लोगों के लिए एक समान है।
Imagine that you have a time machine.,सोचो कि तुम्हारे पास एक टाइम मशीन है।
Do you remember me?,तुम्हें मैं याद हूँ क्या?
The power's out.,बिजली गई हुई है।
Brush your teeth after meals.,खाना खाने के बाद दाँतों को ब्रश करो।
He will get better little by little.,वह धीरे-धीरे ठीक हो जाएगा।
They live in a little village in England.,वे इंग्लैंड के एक छोटे से गाँव में रहते हैं।
It was so noisy that I couldn't make myself heard.,इतना शोर था कि किसी को भी मेरी आवाज़ सुनाई नहीं दे रही थी।
Can I see your passport?,मैं आपका पासपोर्ट देख सकता हूँ क्या?
I don't believe in God.,मैं भगवान में यकीन नहीं करता।
We communicate with each other by telephone every day.,हम रोज़ एक-दूसरे से फ़ोन पर बात करते हैं।
I'm satisfied with my current income.,मैं अपनी कमाई से संतुष्ट हूँ।
She is in bed with a fever.,वह बुखार के साथ बिस्तर में लेटी हुई है।
The people of London are very proud of this bridge.,लंदन के लोगों को इस ब्रिज पर गर्व है।
Don't shout.,चिल्लाईए मत।
This is my bag.,यह मेरा बस्ता है।
We drink our tea with sugar.,हम चाय चीनी डालकर पीते हैं।
I sat between Tom and John.,मैं टॉम और जॉन के बीच में बैठा।
This lion is very tame.,यह शेर बहुत पालतू है।
I don't think that it will rain tomorrow.,मुझे नहीं लगता कल बारिश होगी।
"Keep down, or you'll be shot.","नीचे रहो, नहीं तो तुम्हें गोली लग जाएगी।"
This theory is too difficult for me to comprehend.,यह सिद्धांत मेरे समझने से बाहर है।
"Some people like cats, others prefer dogs.","कुछ लोगों को बिल्लियाँ अच्छी लगतीं हैं, कुछ लोगों को कुत्ते।"
We study music.,हम संगीत की पढ़ाई करते हैं।
I can't live without you.,मैं तुम्हारे बगैर जी नहीं सकती।
This is the village where my father was born.,यह वह गाँव है जहाँ मेरे पिताजी पैदा हुए थे।
London is one of the largest cities in the world.,लंदन दुनिया के सबसे बड़े शहरों में से एक है।
"We tried it again, but couldn't do it.","हमने फिरसे करने की कोशीश की, पर नहीं कर पाए।"
A rope was thrown into the water.,रस्सी को पानी में फेंक दिया गया।
Make yourself at home.,इसको अपना घर ही समझो।
I must have left it on the bus.,मैंने उसे बस में छोड़ दिया होगा।
I'll attend.,मैं आऊंगा।
We usually have breakfast at 7:30.,हम आमतौर पर साढ़े सात बजे नाश्ता खाते हैं।
She asked me for help.,उसने मुझसे मदद मांगी।
He will not listen to me.,वह मेरी बात नहीं सुनेगा।
We stayed at a hotel by the lake.,हम झील के पास एक होटल में ठहरे।
Please speak in a low voice.,कृपया हल्की आवाज़ में बात कीजिए।
I don't think that anyone noticed what we did.,मुझे नहीं लगता कि किसी ने भी देखा कि हमने क्या किया।
Can you identify the man in this picture?,क्या तुम उस आदमी को उसकी तस्वीर से पहचान सकते हो?
Many companies advertise their products on TV.,कई कंपनियां टीवी पर अपने उत्पादों का विज्ञापन करती हैं।
What do you want me to do?,तुम मुझसे क्या करवाना चाहते हो?
Why is he angry about something like that?,वह इस तरह की बात पर गुस्सा क्यों है?
What does it contain?,इसमें क्या है?
She was late once again.,वह एक बार फिर देर से आई।
That is not a tiger.,वह बाघ नहीं है।
I want you to keep your promise.,मैं चाहता हूँ कि तुम अपना वादा निभाओ।
She gazed at me for a long time.,उसने मुझको बहुत देर तक घूरकर देखा।
The station is located between these two towns.,स्टेशन इन दो नगरों के बीच स्थित है।
How about adding a little bit more salt?,थोड़ा और नमक डाल दोगे?
They went on talking for hours.,उन्होंने और कुछ घंटों के लिए बातचीत करी।
Put it where you like.,जहाँ भी रखना है रखदो।
How did you come to know her?,तुम उसे कैसे जानते थे?
They shouted for help.,उन्होंने मदद के लिए आवाज़ लगाई।
"To my surprise, she could not answer the question.",मैं हैरान था कि वह सवाल का जवाब नहीं दे पाई।
He's in a bad state.,उसकी हालत बुरी है।
He married for money.,उसने पैसों के लिए शादी की।
How about going to the movies?,फ़िल्म देखने चलें क्या?
I'm thinking of changing jobs.,मैं नौकरी बदलने की सोच रही हूँ।
"If you have time, please drop in on us.",अगर आपके पास समय हो तो हमसे मिलने आईएगा।
His behavior is very odd today.,उसका बर्ताव आज बहुत अजीब है।
"If I had known her address, I would have written to her.","अगर मुझे उसका पता पता होता, तो मैंने उसे चिट्ठी लिखी हुई होती।"
"Mother Teresa was a Catholic nun who lived and worked in Calcutta, India.",मदर टेरेसा एक कैथोलिक नन थीं जो कलकत्ता में रहतीं और काम करतीं थीं।
"The older you are, the more difficult it is to learn a language.","तुम्हारी उम्र जितनी बड़ी होती है, तुम्हारे लिए कोई भाषा सीखना उतना ही कठिन होता है।"
I don't know if she will come.,मुझे नहीं पता कि वह आएगी कि नहीं।
I love you.,मैं आपसे प्यार करती हूँ।
Sickness prevented him from going out.,वह बीमारी की वजह से बाहर नहीं जा सका।
I saw him running.,मैंने उसे भागते हुए देखा।
Classical music is not my cup of tea.,मुझे शास्त्रीय संगीत सुनने का शौक नहीं है।
She called her children into the room.,उसने अपने बच्चों को कमरे में बुलाया।
Take your time.,आराम से आओ।
"I'm sorry, my father is out.","माफ़ कीजिएगा, मेरे पापा अभी घर पर नहीं हैं।"
The vase was broken to pieces.,गुलदान टूट कर चूर-चूर हो गया।
He used pigeons in his experiment.,वह अपने प्रयोगों में कबूतरों का उपयोग करता था।
It happened between eight and ten.,आठ से दस बजे के बीच हुई।
She died yesterday afternoon.,उनकी मौत कल दोपहर को हुई थी।
I lost consciousness.,मैं बेहोश हो गया।
A day has twenty-four hours.,एक दिन में चौबीस घंटे होते हैं।
I will go there in place of you.,तुम्हारे बदले मैं वहाँ जाऊँगा।
We stayed with them all through the summer.,हमने पूरी गर्मी उनके साथ बिताई।
When did you meet?,आप कब मिले?
He has three daughters.,उसकी तीन बेटियाँ हैं।
We should love our neighbors.,हमे पड़ोसियों के साथ प्रेमपूर्वक रहना चहिए।
He became a member of this club five years ago.,वह इस क्लब का सदस्य पाँच साल पहले बना था।
Please throw the ball.,गेंद फेंकिए।
Come see me again tomorrow.,मुझसे कल फिर आकर मिलना।
New Delhi is the capital of India.,भारत की राजधानी नई दिल्ली है।
I will never forget your kindness so long as I live.,मैं आपकी अच्छाई को कभी नहीं भूलूँगा।
Please sit down.,बैठिए।
Don't play with that key!,उस चाबी के साथतानी मत करो!
He learned how to swim.,उसने तैरना सीखा।
I'm looking for a small suitcase.,मैं एक छोटी अटैची को ढूँढ रहा हूँ।
"We ordered pink, but we received blue.",हमने पिंक रंग वाले का ऑर्डर किया था पर हमे नीले रंग वाला मिला।
I was caught in a traffic jam.,मैं ट्राफ़िक जाम में फँस गया था।
My friends celebrated my birthday.,मेरे दोस्तों ने मेरा जन्मदिन मनाया।
You look tired.,तुम थके-हारे से लगते हो।
I don't want there to be any misunderstanding.,मैं नहीं चाहता कि कोई भी ग़लतफ़ैमी हो।
I have nothing to say on this matter.,मुझे इस विषय पर कुछ नहीं कहना है।
My brother depends on me for money.,मेरा भाई पैसों के लिए मुझपर निर्भर है।
I'll give you a present.,मैं तुम्हें एक तोहफ़ा दूँगा।
These grapes are so sour that I can't eat them.,ये अंगूर इतने खट्टे हैं कि मुझसे खाए नहीं जा रहे।
Congratulations!,मुबारक हो!
Where's the airport?,हवाई अड्डा कहाँ पर है?
That was an exemplary performance!,वह एक अनुकरणीय प्रदर्शन था!
Happy New Year!,नव वर्ष की शुभकामनाएं!
There used to be a big pond around here.,यहाँ एक बड़ा तालाब हुआ करता था।
What do you call this bird?,इस पक्षी का नाम क्या है?
His birthday is August 21st.,उसका जन्मदिन इक्कीस अगस्त को है।
Do I have to stay in the hospital?,क्या मुझे अस्पताल में रहना होगा?
This is for you.,यह तुम्हारे लिए है।
The food is getting cold.,खाना ठंडा हो रहा है।
Football is my favorite game.,फ़ुटबॉल मेरा सबसे पसंदीता खेल है।
He is less impatient than his father.,उसमें उसके पिता जितनी बेसब्री नहीं है।
I was waiting for a taxi.,मैं टैक्सी की प्रतीक्षा कर रहा था।
You may use my pen.,तुम मेरी कलम इस्तेमाल कर सकते हो।
Tom couldn't understand what Mary was saying.,टॉम मेरी की बात समझ नहीं सका।
He wanted to succeed.,वह कामयाब होना चाहता था।
He was born in a small town in Italy.,वह इटली के एक छोटे से गाँव में पैदा हुआ था।
Water is very important.,पानी बहुत जरूरी है।
He likes oranges.,उसे नारंगी अच्छे लगते हैं।
I want to have a cup of coffee.,मुझे एक कप कॉफ़ी चाहिए।
She bought a dozen eggs.,उसने एक दर्जन अंडे खरीदे।
The man looked at me.,उस आदमी ने मेरी ओर देखा।
Tom is strict with his children.,टॉम अपने बच्चों के साथ सख्ती से पेश आता है।
She's not a doctor.,वह डॉक्टर नहीं है।
May comes after April.,मई अप्रैल के बाद आता है।
He did the work on his own.,उसने काम अपने-आप किया।
I live in a big city.,मैं बड़े शहर में रहता हूँ।
How do you interpret these sentences?,तुम इन वाक्यों का क्या माईने निकालते हो?
I'll make you happy.,मैं तुम्हें खुश करूँगा।
Do you have these shoes in my size?,क्या ये जूते मेरे नाप में भी मिल सकते हैं?
Playing tennis is easy for me.,मेरे लिए टेनिस खेलना बहुत आसान है।
